"";"date";"hits";"keyword";"geo";"gprop";"category"
"1";2011-12-31 23:00:00;50;"seriousness";"US";"web";0
"2";2012-01-07 23:00:00;70;"seriousness";"US";"web";0
"3";2012-01-14 23:00:00;52;"seriousness";"US";"web";0
"4";2012-01-21 23:00:00;52;"seriousness";"US";"web";0
"5";2012-01-28 23:00:00;98;"seriousness";"US";"web";0
"6";2012-02-04 23:00:00;63;"seriousness";"US";"web";0
"7";2012-02-11 23:00:00;57;"seriousness";"US";"web";0
"8";2012-02-18 23:00:00;80;"seriousness";"US";"web";0
"9";2012-02-25 23:00:00;100;"seriousness";"US";"web";0
"10";2012-03-03 23:00:00;59;"seriousness";"US";"web";0
"11";2012-03-10 23:00:00;82;"seriousness";"US";"web";0
"12";2012-03-17 23:00:00;52;"seriousness";"US";"web";0
"13";2012-03-24 23:00:00;52;"seriousness";"US";"web";0
"14";2012-03-31 22:00:00;89;"seriousness";"US";"web";0
"15";2012-04-07 22:00:00;91;"seriousness";"US";"web";0
"16";2012-04-14 22:00:00;74;"seriousness";"US";"web";0
"17";2012-04-21 22:00:00;62;"seriousness";"US";"web";0
"18";2012-04-28 22:00:00;91;"seriousness";"US";"web";0
"19";2012-05-05 22:00:00;46;"seriousness";"US";"web";0
"20";2012-05-12 22:00:00;87;"seriousness";"US";"web";0
"21";2012-05-19 22:00:00;47;"seriousness";"US";"web";0
"22";2012-05-26 22:00:00;72;"seriousness";"US";"web";0
"23";2012-06-02 22:00:00;59;"seriousness";"US";"web";0
"24";2012-06-09 22:00:00;88;"seriousness";"US";"web";0
"25";2012-06-16 22:00:00;35;"seriousness";"US";"web";0
"26";2012-06-23 22:00:00;41;"seriousness";"US";"web";0
"27";2012-06-30 22:00:00;37;"seriousness";"US";"web";0
"28";2012-07-07 22:00:00;52;"seriousness";"US";"web";0
"29";2012-07-14 22:00:00;69;"seriousness";"US";"web";0
"30";2012-07-21 22:00:00;40;"seriousness";"US";"web";0
"31";2012-07-28 22:00:00;52;"seriousness";"US";"web";0
"32";2012-08-04 22:00:00;62;"seriousness";"US";"web";0
"33";2012-08-11 22:00:00;52;"seriousness";"US";"web";0
"34";2012-08-18 22:00:00;63;"seriousness";"US";"web";0
"35";2012-08-25 22:00:00;39;"seriousness";"US";"web";0
"36";2012-09-01 22:00:00;96;"seriousness";"US";"web";0
"37";2012-09-08 22:00:00;49;"seriousness";"US";"web";0
"38";2012-09-15 22:00:00;71;"seriousness";"US";"web";0
"39";2012-09-22 22:00:00;70;"seriousness";"US";"web";0
"40";2012-09-29 22:00:00;59;"seriousness";"US";"web";0
"41";2012-10-06 22:00:00;48;"seriousness";"US";"web";0
"42";2012-10-13 22:00:00;47;"seriousness";"US";"web";0
"43";2012-10-20 22:00:00;77;"seriousness";"US";"web";0
"44";2012-10-27 22:00:00;89;"seriousness";"US";"web";0
"45";2012-11-03 23:00:00;72;"seriousness";"US";"web";0
"46";2012-11-10 23:00:00;90;"seriousness";"US";"web";0
"47";2012-11-17 23:00:00;55;"seriousness";"US";"web";0
"48";2012-11-24 23:00:00;39;"seriousness";"US";"web";0
"49";2012-12-01 23:00:00;50;"seriousness";"US";"web";0
"50";2012-12-08 23:00:00;60;"seriousness";"US";"web";0
"51";2012-12-15 23:00:00;62;"seriousness";"US";"web";0
"52";2012-12-22 23:00:00;35;"seriousness";"US";"web";0
"53";2012-12-29 23:00:00;43;"seriousness";"US";"web";0
